Id,SalePrice
1461,123459.18286164725
1462,151465.44860900167
1463,183412.75637603534
1464,182422.4521685423
1465,190690.15631437008
1466,181780.080569075
1467,160226.08568598915
1468,175615.16078256804
1469,188281.72554884336
1470,120252.56835882999
1471,209877.52084151434
1472,96517.23250914222
1473,95880.26308970278
1474,153245.820021007
1475,152785.58559321953
1476,360467.4120002052
1477,253077.47046288307
1478,306076.089564593
1479,237981.6877292269
1480,454857.0417854146
1481,307646.8705682453
1482,203413.34591412923
1483,170825.664741459
1484,175350.40694830456
1485,175497.0955948197
1486,195241.65348498675
1487,308322.91974335065
1488,234304.3300411781
1489,207661.08871233944
1490,190053.39689982898
1491,189668.1876702946
1492,92995.70367717836
1493,172123.59553974634
1494,307953.86081533885
1495,289729.7168664001
1496,224001.39615414944
1497,190882.51321090988
1498,152716.39428424943
1499,151654.47735422262
1500,142361.64600058552
1501,169215.92450240656
1502,170257.21419236166
1503,266020.78109589854
1504,227264.02882012376
1505,215327.92649492217
1506,174676.29708670563
1507,208823.7686436748
1508,205963.49595591746
1509,161234.42758186214
1510,149373.53998336053
1511,150506.8008609161
1512,160778.90358242358
1513,145578.6636646655
1514,158404.31453732116
1515,171139.9485081393
1516,152996.75535671134
1517,150064.24298043153
1518,129623.51368461944
1519,222286.04831309157
1520,138206.51889789617
1521,147081.92153544904
1522,162849.4705859178
1523,115289.4799266561
1524,122707.54982836108
1525,123055.54382902566
1526,129331.751119589
1527,100480.45604972712
1528,126132.79301709974
1529,138680.41489312032
1530,166512.70596157588
1531,124755.90529631222
1532,109773.14720184458
1533,143061.66034412754
1534,114376.84064140421
1535,149113.70086058573
1536,115091.86708695447
1537,77997.68756997907
1538,155452.7475916653
1539,188008.6641471582
1540,113469.67411590547
1541,143219.48596005567
1542,139961.0040992759
1543,201008.3355159104
1544,79150.35373359227
1545,98956.65768604983
1546,118292.40283871163
1547,131233.23330606738
1548,130262.61912925188
1549,109344.12930507497
1550,142688.9312310866
1551,112168.20818333347
1552,140775.9139189684
1553,140485.00721584546
1554,122660.58129076616
1555,169388.2256037189
1556,89548.94062132222
1557,122314.33712064386
1558,92438.49495396728
1559,106153.20935430989
1560,147412.78648424044
1561,135728.62837688398
1562,127815.64773716476
1563,122086.60651860716
1564,161620.85657469582
1565,150442.60112619938
1566,232855.8280194657
1567,73130.51707101855
1568,214070.9519316731
1569,146570.09314474755
1570,123846.18928330494
1571,131339.12558629527
1572,142361.00937881903
1573,238454.4297269644
1574,111449.8899491501
1575,212624.04269856797
1576,205897.0872672014
1577,206064.61599847092
1578,141849.8530965809
1579,143415.06176492164
1580,195514.2840379391
1581,141591.44932054012
1582,127191.34142298168
1583,337809.03460249206
1584,246250.72170320997
1585,141348.47341169417
1586,79684.67136119468
1587,106962.96830482491
1588,149006.31565413906
1589,94263.0229358176
1590,130475.85752709198
1591,106965.52064490391
1592,121117.45655391908
1593,110007.96263169711
1594,123623.06588169647
1595,119825.54599662956
1596,245141.4322085125
1597,152460.12483974054
1598,179374.07121573616
1599,185809.73885291407
1600,181129.9105055072
1601,79415.40429672954
1602,105483.00040094087
1603,87733.29898329807
1604,275870.13135223027
1605,255982.18007485985
1606,166963.18380383446
1607,149720.22439430142
1608,216034.47649162542
1609,195332.49938545952
1610,151167.97987181964
1611,149397.5928855141
1612,156087.10457307845
1613,164942.34436759262
1614,116135.63480935771
1615,87612.97280459944
1616,81250.89220252624
1617,84643.69368518871
1618,126722.60302888497
1619,130923.57185164855
1620,144415.98683300777
1621,129410.33616727006
1622,148651.39528552679
1623,270470.3716551459
1624,206512.34779835746
1625,121853.54291380907
1626,177856.6681741288
1627,190191.51085394126
1628,275422.6662987504
1629,173338.43761746632
1630,305585.9692127599
1631,205766.9435061902
1632,257284.4376908998
1633,171656.63106995315
1634,179974.81551941726
1635,178369.94631731333
1636,151817.29807011486
1637,178463.90385664918
1638,213212.7382035702
1639,178448.68939601298
1640,257685.64956813116
1641,189273.78196396373
1642,221789.70602193143
1643,226649.49210783094
1644,220948.75370732573
1645,177361.72821151384
1646,149902.1295671044
1647,171969.6450275427
1648,139833.46322772533
1649,139940.20406904042
1650,118806.76375606035
1651,124185.75645213961
1652,93013.64432865399
1653,93084.56278123024
1654,156003.41306081205
1655,164584.25685552869
1656,153317.9166613178
1657,154906.6767226494
1658,155604.979829218
1659,155770.2554032316
1660,143971.6004271827
1661,426462.5967748172
1662,364139.7170087821
1663,361691.4682585988
